Date,Open,High,Low,Close,Adj Close,Volume
2015-12-28,30.215000,30.955000,30.010000,30.799999,30.047926,2833800
2016-01-04,30.150000,30.430000,29.200001,29.245001,28.530895,5834800
2016-01-11,29.610001,30.250000,28.025000,28.120001,27.433365,6859400
2016-01-18,28.309999,28.459999,26.565001,27.424999,26.755337,8390400
2016-01-25,27.375000,30.215000,27.315001,30.165001,29.428432,9363400
2016-02-01,29.844999,30.240000,28.780001,29.090000,28.379679,6081800
2016-02-08,28.549999,28.795000,26.850000,27.615000,26.940699,10494800
2016-02-15,27.940001,28.225000,27.235001,27.350000,26.682169,6131000
2016-02-22,27.855000,27.855000,25.555000,26.290001,25.648052,8197600
2016-02-29,26.875000,28.754999,26.370001,28.575001,27.877256,9052800
2016-03-07,28.405001,28.790001,27.879999,28.770000,28.067493,6764600
2016-03-14,28.750000,29.375000,28.055000,29.334999,28.618698,6539200
2016-03-21,29.360001,29.945000,29.000000,29.264999,28.550407,4204800
2016-03-28,29.385000,30.975000,29.110001,30.764999,30.013777,8597600
2016-04-04,30.745001,31.135000,29.965000,30.070000,29.335749,7432200
2016-04-11,30.315001,31.575001,29.900000,31.495001,30.725956,6079800
2016-04-18,31.285000,31.905001,30.920000,31.469999,30.701565,4842200
2016-04-25,31.375000,32.000000,31.094999,31.434999,30.667418,6629800
2016-05-02,31.275000,31.910000,30.969999,31.750000,30.974728,5437200
2016-05-09,31.905001,32.490002,31.549999,31.610001,30.838146,4884000
2016-05-16,32.200001,32.494999,30.834999,31.580000,30.808880,7670400
2016-05-23,31.490000,32.500000,31.100000,32.419998,31.628366,7256000
2016-05-30,32.500000,32.790001,31.705000,32.665001,31.867384,4388600
2016-06-06,32.630001,33.290001,32.310001,32.314999,31.525928,5661400
2016-06-13,32.064999,32.904999,31.815001,32.415001,31.623489,6148200
2016-06-20,32.915001,33.570000,32.055000,32.880001,32.077137,7323200
2016-06-27,32.119999,33.389999,31.665001,33.290001,32.477123,7351600
2016-07-04,32.994999,33.790001,32.560001,33.669998,33.060505,3862200
2016-07-11,33.855000,34.630001,33.555000,34.259998,33.639824,4881200
2016-07-18,34.220001,34.730000,34.134998,34.715000,34.086590,3519800
2016-07-25,34.590000,34.994999,34.279999,34.634998,34.008038,5094000
2016-08-01,34.650002,34.985001,34.305000,34.825001,34.194599,6359600
2016-08-08,34.889999,34.959999,34.060001,34.950001,34.317337,7178200
2016-08-15,35.000000,35.869999,34.915001,35.410000,34.769009,5104400
2016-08-22,35.200001,35.919998,35.134998,35.525002,34.881931,3764600
2016-08-29,35.355000,36.974998,35.255001,36.424999,35.765633,9427400
2016-09-05,36.740002,37.020000,36.205002,36.205002,35.549618,5470200
2016-09-12,36.025002,36.340000,35.185001,35.525002,34.881931,6815200
2016-09-19,35.689999,36.970001,35.529999,36.270000,35.613441,6473200
2016-09-26,36.105000,36.660000,35.520000,35.945000,35.294327,7261200
2016-10-03,35.990002,36.759998,35.939999,36.185001,35.529980,4035400
2016-10-10,36.355000,36.525002,35.419998,36.055000,35.402332,3641000
2016-10-17,35.439999,36.695000,35.305000,36.299999,35.642895,6074000
2016-10-24,36.389999,36.445000,34.724998,35.290001,34.651180,6909600
2016-10-31,35.310001,35.799999,34.360001,34.610001,33.983494,5646600
2016-11-07,35.000000,35.650002,34.325001,34.599998,33.973671,6252400
2016-11-14,34.634998,34.634998,31.870001,32.285000,31.700577,11261200
2016-11-21,31.990000,32.119999,31.105000,32.040001,31.460012,8751600
2016-11-28,31.695000,32.965000,31.400000,31.530001,30.959246,12265800
2016-12-05,31.815001,32.814999,31.540001,31.750000,31.175262,11177200
2016-12-12,31.620001,32.044998,30.320000,30.405001,29.854609,10163400
2016-12-19,30.365000,30.650000,29.549999,30.485001,29.933161,8553800
2016-12-26,30.469999,30.700001,30.280001,30.340000,29.790787,5585200
2017-01-02,30.330000,30.545000,29.500000,30.340000,29.790787,10212000
2017-01-09,30.200001,32.290001,30.180000,32.060001,31.479654,11608000
2017-01-16,32.130001,32.619999,31.709999,32.105000,31.523836,6534000
2017-01-23,32.130001,34.895000,32.095001,34.794998,34.165138,11360800
2017-01-30,34.279999,35.685001,34.040001,35.660000,35.014481,7469200
2017-02-06,35.485001,35.849998,35.275002,35.645000,34.999756,4934400
2017-02-13,35.724998,36.099998,34.445000,35.200001,34.562809,14353400
2017-02-20,35.570000,36.660000,35.535000,35.759998,35.112671,4851600
2017-02-27,35.764999,36.564999,35.520000,35.805000,35.156860,5870600
2017-03-06,35.830002,35.830002,35.369999,35.674999,35.029209,4550000
2017-03-13,36.470001,37.000000,36.070000,36.474998,35.814732,7865600
2017-03-20,36.570000,37.494999,36.009998,36.424999,35.765633,9569400
2017-03-27,36.080002,37.674999,36.014999,37.610001,36.929188,8565000
2017-04-03,37.595001,38.334999,37.514999,38.259998,37.567417,7503200
2017-04-10,38.244999,38.715000,37.965000,38.605000,37.906174,5035000
2017-04-17,38.985001,39.544998,38.630001,38.650002,37.950359,7199600
2017-04-24,39.945000,40.845001,39.750000,39.805000,39.084450,11468800
2017-05-01,40.110001,41.275002,39.650002,41.244999,40.498383,8095200
2017-05-08,41.145000,42.259998,40.884998,42.200001,41.436096,7117600
2017-05-15,42.220001,43.049999,41.320000,42.355000,41.588291,6375800
2017-05-22,42.250000,43.595001,41.750000,43.270000,42.486725,6912000
2017-05-29,43.270000,44.169998,43.195000,43.805000,43.012043,4003600
2017-06-05,43.930000,44.615002,43.509998,44.384998,43.581543,5876800
2017-06-12,44.314999,44.919998,43.320000,44.305000,43.502991,10628600
2017-06-19,44.700001,44.779999,43.509998,43.680000,42.889305,9977800
2017-06-26,43.970001,44.185001,42.779999,43.485001,42.697834,7980200
2017-07-03,43.775002,44.154999,43.549999,43.994999,43.451874,4447800
2017-07-10,44.115002,45.560001,43.810001,45.419998,44.859283,4975200
2017-07-17,45.424999,46.080002,45.105000,45.799999,45.234596,4186000
2017-07-24,46.230000,48.599998,46.009998,48.419998,47.822250,5952600
2017-07-31,48.389999,49.884998,48.230000,48.705002,48.103729,7119000
2017-08-07,48.785000,48.790001,46.419998,46.799999,46.222248,7860800
2017-08-14,47.305000,48.255001,47.060001,47.165001,46.582745,5101200
2017-08-21,47.200001,48.250000,47.044998,47.950001,47.358051,4547200
2017-08-28,48.125000,48.990002,47.395000,48.709999,48.108669,5205800
2017-09-04,48.279999,48.980000,46.755001,48.715000,48.113605,3826400
2017-09-11,49.185001,50.130001,48.924999,49.654999,49.042007,4108600
2017-09-18,49.849998,50.099998,48.500000,48.615002,48.014843,5455000
2017-09-25,48.064999,48.200001,46.040001,48.185001,47.590153,7107600
2017-10-02,48.070000,48.075001,46.439999,46.700001,46.123486,5437400
2017-10-09,46.779999,49.424999,46.230000,49.330002,48.721016,6521600
2017-10-16,49.330002,49.645000,46.884998,48.000000,47.407436,7616400
2017-10-23,48.150002,48.250000,44.535000,45.965000,45.397560,11995800
2017-10-30,46.134998,47.590000,45.330002,47.105000,46.523487,6494000
2017-11-06,47.080002,48.060001,46.910000,47.009998,46.429657,4441600
2017-11-13,46.650002,48.665001,46.205002,48.500000,47.901264,4167800
2017-11-20,48.279999,49.290001,47.720001,49.215000,48.607437,3036600
2017-11-27,49.080002,49.404999,47.520000,48.005001,47.412373,4431000
2017-12-04,48.160000,48.240002,46.345001,47.799999,47.209908,4680600
2017-12-11,47.650002,49.349998,47.180000,49.310001,48.701263,7904000
2017-12-18,49.255001,50.630001,49.095001,50.415001,49.792622,4718600
2017-12-25,50.105000,50.990002,49.680000,50.834999,50.207436,3043400
2018-01-01,51.340000,51.384998,50.154999,50.310001,49.688923,4559400
2018-01-08,50.485001,51.294998,50.139999,51.215000,50.582748,5072400
2018-01-15,51.750000,53.740002,51.505001,53.660000,52.997562,6203400
2018-01-22,53.845001,54.619999,52.580002,54.500000,53.827190,7694000
2018-01-29,54.599998,55.384998,51.529999,51.599998,50.962990,7785200
2018-02-05,51.500000,51.500000,48.134998,49.630001,49.017315,10001800
2018-02-12,50.000000,51.279999,49.759998,50.380001,49.758057,4934000
2018-02-19,49.959999,50.060001,48.415001,49.669998,49.056816,4700200
2018-02-26,50.130001,50.575001,48.220001,49.209999,48.602501,5096000
2018-03-05,48.965000,48.965000,47.525002,48.195000,47.600029,7999600
2018-03-12,48.395000,50.055000,48.230000,48.980000,48.375336,6363400
2018-03-19,48.750000,49.630001,48.000000,48.005001,47.412373,6021600
2018-03-26,49.180000,49.715000,48.294998,49.384998,48.775337,6976600
2018-04-02,50.070000,50.564999,48.424999,49.355000,48.745708,10785400
2018-04-09,49.820000,50.139999,48.529999,48.615002,48.014843,9138200
2018-04-16,48.849998,49.570000,48.439999,49.255001,48.646942,8263000
2018-04-23,49.070000,49.330002,46.735001,47.555000,46.967930,6511600
2018-04-30,48.000000,49.020000,47.564999,48.270000,47.674099,5361200
2018-05-07,48.200001,49.930000,47.279999,49.764999,49.150646,12525400
2018-05-14,49.759998,50.360001,48.705002,49.165001,48.558052,8521400
2018-05-21,48.904999,49.000000,47.055000,48.470001,47.871635,6876000
2018-05-28,48.560001,53.320000,48.115002,52.869999,52.217316,13258000
2018-06-04,51.494999,52.535000,50.884998,51.384998,51.025383,5643400
2018-06-11,51.549999,52.500000,50.500000,50.980000,50.623219,5594800
2018-06-18,50.700001,53.544998,50.595001,53.389999,53.016354,5393000
2018-06-25,53.000000,53.445000,51.959999,52.509998,52.142509,5103600
2018-07-02,52.009998,53.275002,51.654999,53.110001,52.738316,3304200
2018-07-09,53.325001,56.049999,53.125000,55.270000,54.883194,5677600
2018-07-16,55.055000,55.985001,54.689999,55.724998,55.335011,4226400
2018-07-23,55.500000,55.500000,53.910000,54.825001,54.441311,5240200
2018-07-30,54.375000,54.750000,51.320000,51.994999,51.631115,15268800
2018-08-06,51.840000,52.404999,50.205002,50.970001,50.613293,7994200
2018-08-13,50.544998,50.805000,49.340000,49.994999,49.645115,7328800
2018-08-20,50.389999,50.935001,49.549999,50.064999,49.714622,4626400
2018-08-27,50.145000,50.845001,50.049999,50.634998,50.280632,4359200
2018-09-03,49.849998,49.935001,48.994999,49.080002,48.736515,4993000
2018-09-10,48.825001,49.040001,46.985001,48.505001,48.165539,6182200
2018-09-17,47.494999,47.735001,46.285000,46.845001,46.517159,9780000
2018-09-24,46.000000,47.404999,45.314999,47.049999,46.720722,10081400
